Date,Open,High,Low,Close,Adj Close,Volume
1998-10-28,5.300000,5.350000,5.160000,5.175000,1.501842,398000
1998-10-29,5.105000,5.325000,5.000000,5.325000,1.545374,807000
1998-10-30,5.330000,5.380000,5.215000,5.270000,1.529412,1050000
1998-11-02,5.300000,5.300000,5.150000,5.160000,1.497488,207000
1998-11-03,5.150000,5.150000,4.850000,4.900000,1.422034,678000
1998-11-04,null,null,null,null,null,null
1998-11-05,4.920000,5.000000,4.860000,4.970000,1.442349,477000
1998-11-06,5.050000,5.095000,4.900000,4.905000,1.423485,722000
1998-11-09,5.050000,5.280000,5.050000,5.190000,1.506195,1358000
1998-11-10,5.270000,5.500000,5.200000,5.480000,1.590356,2461000
1998-11-11,5.500000,5.915000,5.500000,5.690000,1.651300,23464000
1998-11-12,5.740000,5.780000,5.505000,5.755000,1.670164,1556000
1998-11-13,5.670000,5.700000,5.475000,5.500000,1.596160,1807000
1998-11-16,5.510000,5.610000,5.460000,5.470000,1.587454,764000
1998-11-17,5.430000,5.570000,5.410000,5.440000,1.578748,719000
1998-11-18,5.490000,5.625000,5.450000,5.605000,1.626633,765000
1998-11-19,5.640000,5.645000,5.415000,5.435000,1.577297,738000
1998-11-20,5.440000,5.475000,5.300000,5.330000,1.546825,1019000
1998-11-23,5.300000,5.390000,5.240000,5.250000,1.523608,327000
1998-11-24,5.250000,5.300000,5.200000,5.280000,1.532314,569000
1998-11-25,5.290000,5.315000,5.240000,5.260000,1.526510,289000
1998-11-26,5.255000,5.285000,5.100000,5.125000,1.487331,256000
1998-11-27,5.110000,5.190000,5.000000,5.055000,1.467017,811000
1998-11-30,5.000000,5.145000,4.930000,5.130000,1.488782,406000
1998-12-01,5.100000,5.210000,5.080000,5.205000,1.510548,578000
1998-12-02,5.250000,5.340000,5.215000,5.260000,1.526510,386000
1998-12-03,5.235000,5.245000,5.170000,5.200000,1.509097,307000
1998-12-04,5.160000,5.175000,5.080000,5.095000,1.478625,677000
1998-12-07,5.150000,5.235000,5.130000,5.220000,1.514901,316000
1998-12-08,5.250000,5.295000,5.150000,5.245000,1.522157,354000
1998-12-09,5.275000,5.295000,5.110000,5.235000,1.519255,420000
1998-12-10,5.200000,5.225000,5.105000,5.150000,1.494587,346000
1998-12-11,5.155000,5.245000,5.105000,5.220000,1.514901,646000
1998-12-14,5.250000,5.335000,5.200000,5.260000,1.526510,599000
1998-12-15,5.260000,5.260000,5.160000,5.190000,1.506195,233000
1998-12-16,5.180000,5.245000,5.110000,5.225000,1.516353,184000
1998-12-17,5.220000,5.220000,5.050000,5.055000,1.467017,645000
1998-12-18,5.060000,5.390000,5.005000,5.255000,1.525059,1761000
1998-12-21,5.310000,5.480000,5.310000,5.420000,1.572943,700000
1998-12-22,5.400000,5.420000,5.260000,5.275000,1.530863,382000
1998-12-23,5.330000,5.420000,5.280000,5.325000,1.545374,966000
1998-12-24,5.320000,5.595000,5.320000,5.415000,1.571493,3254000
1998-12-25,null,null,null,null,null,null
1998-12-28,5.600000,5.700000,5.500000,5.525000,1.603415,3377000
1998-12-29,5.500000,5.575000,5.400000,5.535000,1.606318,597000
1998-12-30,5.570000,5.720000,5.570000,5.625000,1.632437,1517000
1998-12-31,5.550000,5.650000,5.455000,5.475000,1.588905,622000
1999-01-01,5.500000,5.540000,5.455000,5.510000,1.599062,548000
1999-01-04,5.600000,5.750000,5.500000,5.560000,1.613573,1476000
1999-01-05,5.560000,5.650000,5.525000,5.625000,1.632437,689000
1999-01-06,5.650000,5.685000,5.590000,5.625000,1.632437,1301000
1999-01-07,5.635000,6.070000,5.625000,5.980000,1.735462,5049000
1999-01-08,6.190000,6.450000,5.935000,6.450000,1.871861,3259000
1999-01-11,6.670000,6.800000,6.410000,6.485000,1.882019,3852000
1999-01-12,6.400000,6.570000,6.370000,6.545000,1.899431,2256000
1999-01-13,6.560000,6.740000,6.500000,6.600000,1.915393,2747000
1999-01-14,6.510000,6.590000,6.420000,6.555000,1.902333,1876000
1999-01-15,6.525000,6.550000,6.035000,6.140000,1.781896,2327000
